field-type,url-handle,title,description,price,compare-at-price,sku,status,type,product-image-url,product-image-alt-text,inventory,category,customizations,category-image-url,category-image-alt-text,category-path,full-seo-url,product-option-name-1,product-option-value-1,seo-title,seo-description,custom-field-name-1,custom-field-type-1,custom-field-value-1,custom-field-name-2,custom-field-type-2,custom-field-value-2,custom-field-name-3,custom-field-type-3,custom-field-value-3
product,bio-pure-septic-&-drain-rv-restore-&-maintain-32-oz,Bio-Pure Septic & Drain + RV Restore & Maintain 32 oz.,"<p><span style=""font-size: 14.0px;color: rgb(46,48,57);"">Proprietary Microbial Bio-Enzyme Power Breaks Down, Digests Waste &amp; Eliminates Odors (24/7) - Wonderful Citrus Ginger Scent - 4 Septic Treatments + 16 Drain Treatments or 1 Septic Shock</span></p>",29.53,,,ACTIVE,PHYSICAL,https://irp.cdn-website.com/90e1856f/dms3rep/multi/bio-pure.png;https://irp.cdn-website.com/90e1856f/dms3rep/multi/bio-pure-2.jpg,"Bottle of septic & drain cleaner with superhero graphic.;Product label for septic tank treatment, with text and a barcode.",24,Products,,,,,https://www.plumbersthatcare.com/product/bio-pure-septic-&-drain-rv-restore-&-maintain-32-oz,,,,,Specifications,text,"<p>Perfect for septic systems or as a drain maintenance product for your home/business's frequently clogged drains. We've had great success with our customers treating their kitchen sink drains weekly/monthly to prevent clogged drains. Purchase directly from your plumber on site, or order replacements/refills here!	</p>",How to use,text,"<p>Simply follow the directions on the bottle - or for kitchen sink drain maintenance, insert approximately 2-4 oz of enzyme product directly into drain opening once per month followed by approximately 20 oz of water to flush into the sink drain.</p>",Details,text,"<p>Order today, orders ship within 1 week!</p>"
product,commercial-vip,Commercial VIP,"<p><span style=""font-size: 16.0px;"">Enroll your business in our commercial VIP program today!</span></p><p><br></p><p><span style=""font-size: 16.0px;"">Become a VIP customer @ your business &amp; receive </span></p><p><br></p><ul><li>Priority Service for emergencies</li><li>Membership savings on EVERY service item.</li><li>Yearly plumbing inspection at no charge</li></ul><p><em>Our memberships do NOT auto-renew. There is no obligation, whatsoever, to join our VIP program. This membership program provides savings on every commercial location within our coverage area.</em></p>",119,,4318839,ACTIVE,SERVICE,https://irp.cdn-website.com/90e1856f/dms3rep/multi/commercial+VIP-98834175.png,"Silver shield-shaped Commercial VIP Membership badge on blue background, with a 1 Year ribbon.",IN STOCK,Memberships,,,,,https://www.plumbersthatcare.com/product/commercial-vip,,,,,,,,,,,,,
product,platinum-vip-membership,Platinum VIP Membership,"<p><strong style=""font-size: 16.0px;""><em>Become a VIP customer today!</em></strong></p><p><br></p><p><span style=""font-size: 16.0px;"">Includes (3) annual water heater flush of up to two (2) tank-type water heaters (in one service visit) with general plumbing checkup &amp; entitles customer to preferred customer pricing for the duration of 3 year, as well as preferred customer emergency scheduling. </span></p><p><br></p><p><span style=""font-size: 16.0px;"">Before this plan expires, in approximately 1 year, we will return for our </span><em style=""font-size: 16.0px;"">VIP Customer </em><span style=""font-size: 16.0px;"">visit in which we will perform the water heater flush and full, in-home, courtesy plumbing inspection. (2) additional visits will then be scheduled to be completed annually. Customer is responsible for all scheduling. These service visits have no cash value.</span></p><p><br></p><p><strong style=""font-size: 16.0px;"">Discounted service pricing -</strong><span style=""font-size: 16.0px;""> discount applies to nearly every service item. May not (always) be used with other coupons or offers, except as indicated on said coupons.</span></p><p><br></p><p><strong style=""font-size: 16.0px;""><em>Tankless customers -</em></strong><em style=""font-size: 16.0px;""> purchase our Tankless customers add-on for great discounts on tankless flushing.</em></p><p><br></p><p><strong style=""font-size: 16.0px;"">Preferred customer scheduling -</strong><span style=""font-size: 16.0px;""> should the need arise, customers who purchase VIP service plan will receive preferred customer scheduling, according to staffing availability. We will place VIP customers ahead of other non-VIP customers in accordance with actual need and the availability of service technicians.</span></p>",319.77,,,ACTIVE,SERVICE,https://irp.cdn-website.com/90e1856f/dms3rep/multi/platinum+vip.png,"Platinum VIP Membership badge with silver shield and gold ""3 Year"" banner on a blue background.",IN STOCK,Memberships,,,,,https://www.plumbersthatcare.com/product/platinum-vip-membership,Water Heater Type,Tank;Tankless,,,How to use,text,"<p>Purchase your membership, here and we'll get you marked as a VIP customer. In approximately 12 months - we'll reach out to schedule your included water heater service and plumbing checkup.</p>",Details,text,<p>This VIP membership covers all properties owned by the customer within our coverage area. Water heater flush and plumbing check up may only be used on one primary property.</p>,,,
variant,,Platinum VIP Membership,,319.77,,17300,SHOW,,https://irp.cdn-website.com/90e1856f/dms3rep/multi/platinum-tank-type.png,"Platinum Tank-Type VIP Membership badge, silver shield with gold ""3 Years"" banner on blue background.",IN STOCK,,,,,,,Water Heater Type,Tank,,,,,,,,,,,
variant,,Platinum VIP Membership,,599.8,,4324462,SHOW,,https://irp.cdn-website.com/90e1856f/dms3rep/multi/platinum-tankless.png,"Platinum tankless VIP membership badge with a 3-year designation. Silver shield, gold corner.",IN STOCK,,,,,,,Water Heater Type,Tankless,,,,,,,,,,,
product,rental-vip,Rental VIP,"<p><span style=""font-size: 16.0px;"">Enroll all your rental properties in our VIP program today!</span></p><p><br></p><p><span style=""font-size: 16.0px;"">Every rental property </span><strong style=""font-size: 16.0px;"">in our coverage area </strong><span style=""font-size: 16.0px;"">will get the following great benefits:</span></p><p><br></p><ul><li>Priority service in the event of an emergency</li><li>Savings on <strong>every</strong> task completed.</li></ul><p><br></p>",109.1,,4320647,ACTIVE,SERVICE,https://irp.cdn-website.com/90e1856f/dms3rep/multi/commercial+VIP-98834175.png,"Silver shield-shaped Commercial VIP Membership badge on blue background, with a 1 Year ribbon.",IN STOCK,Memberships,,,,,https://www.plumbersthatcare.com/product/rental-vip,,,,,,,,,,,,,
product,silver-vip-membership,Silver VIP Membership,"<p><strong style=""font-size: 16.0px;""><em>Become a VIP customer today!</em></strong></p><p><br></p><p><span style=""font-size: 16.0px;"">Includes water heater flush of up to two (2) tank-type water heaters (in one service visit) with general plumbing checkup &amp; entitles customer to preferred customer pricing for the duration of 1 year, as well as preferred customer emergency scheduling. </span></p><p><br></p><p><span style=""font-size: 16.0px;"">Before this plan expires, in approximately 1 year, we will return for our </span><em style=""font-size: 16.0px;"">VIP Customer </em><span style=""font-size: 16.0px;"">visit in which we will perform the water heater flush and full, in-home, courtesy plumbing inspection. </span></p><p><br></p><p><strong style=""font-size: 16.0px;"">Discounted service pricing -</strong><span style=""font-size: 16.0px;""> discount applies to nearly every service item. May not (always) be used with other coupons or offers, except as indicated on said coupons.</span></p><p><br></p><p><strong style=""font-size: 16.0px;"">Preferred customer scheduling -</strong><span style=""font-size: 16.0px;""> should the need arise, customers who purchase VIP service plan will receive preferred customer scheduling, according to staffing availability. We will place VIP customers ahead of other non-VIP customers in accordance with actual need and the availability of service technicians.</span></p>",139.25,,,ACTIVE,SERVICE,https://irp.cdn-website.com/90e1856f/dms3rep/multi/silver-vip.png,Silver VIP Membership badge on blue background.,IN STOCK,Memberships,,,,,https://www.plumbersthatcare.com/product/silver-vip-membership,Water Heater Type,Tank;Tankless,,,How to use,text,"<p>Purchase your membership, here and we'll get you marked as a VIP customer. In approximately 12 months - we'll reach out to schedule your included water heater service and plumbing checkup.</p>",Details,text,<p>This VIP membership covers all properties owned by the customer within our coverage area. Water heater flush and plumbing check up may only be used on one primary property.</p>,,,
variant,,Silver VIP Membership,,139.25,,17298,SHOW,,https://irp.cdn-website.com/90e1856f/dms3rep/multi/silver-tank-type.png,"Silver Tank-Type VIP Membership badge with ""1 YEAR"" ribbon on a blue background.",IN STOCK,,,,,,,Water Heater Type,Tank,,,,,,,,,,,
variant,,Silver VIP Membership,,212.12,,4816750,SHOW,,https://irp.cdn-website.com/90e1856f/dms3rep/multi/tankless+vip+silver.png,"Silver Tankless VIP Membership badge, blue and silver shield, ""1 YEAR"" ribbon.",IN STOCK,,,,,,,Water Heater Type,Tankless,,,,,,,,,,,
category,products,Products,"<p>Discover the essential drain maintenance products from Economy Plumbing Services that keep your home running smoothly. Our range is designed to tackle clogs, eliminate odors, and maintain your plumbing systems effectively. </p><p><br></p><p>In addition to practical solutions, show your pride in Economy Plumbing Services with our exclusive merchandise! From stylish apparel to handy tools, our branded items let you represent your favorite plumbing service with flair. Shop now and combine functionality with pride!</p>",,,,,,,,,,,https://irp.cdn-website.com/90e1856f/dms3rep/multi/products-image.png,"""Products"" text over water with ripples and a single droplet.",,,,,,,,,,,,,,,
